TransactionID,AccountID,CustomerID,Type,Amount,Merchant,Country,Datetime,Channel,BalanceAfter,AppliedType
501048,10031,28,DEBIT,2034,MobileTopup,GB,2024-01-01 00:07:00,ONLINE,21878,DEBIT
502088,10075,63,DEBIT,237,LocalStore,US,2024-01-01 00:38:00,ONLINE,227374,DEBIT
502873,10052,47,DEBIT,75,Walmart,AE,2024-01-01 01:17:00,ONLINE,451744,DEBIT
501323,10050,45,DEBIT,3134,WaterBill,US,2024-01-01 03:50:00,POS,432801,DEBIT
503928,10135,116,DEBIT,1061,WaterBill,PK,2024-01-01 06:48:00,ONLINE,419033,DEBIT
504468,10051,46,CREDIT,114,Walmart,GB,2024-01-01 07:56:00,ATM,174375,CREDIT
500549,10047,42,CREDIT,4239,LocalStore,CN,2024-01-01 08:18:00,POS,473180,CREDIT
504257,10050,45,DEBIT,1859,Amazon,US,2024-01-01 22:20:00,ONLINE,430942,DEBIT
501520,10066,57,CREDIT,1478,Transfer,US,2024-01-02 01:09:00,BRANCH,498879,CREDIT
501459,10130,113,DEBIT,1714,Transfer,AE,2024-01-02 01:24:00,BRANCH,113535,DEBIT
500658,10059,52,CREDIT,1816,Walmart,AE,2024-01-02 02:30:00,BRANCH,62350,CREDIT
503550,10122,105,DEBIT,7303,LocalStore,CN,2024-01-02 03:36:00,ONLINE,14497,DEBIT
500887,10008,8,CREDIT,5422,ElectricBill,GB,2024-01-02 05:35:00,ONLINE,274994,CREDIT
502383,10100,86,DEBIT,276,ElectricBill,AE,2024-01-02 08:05:00,ONLINE,432882,DEBIT
501624,10015,14,DEBIT,826,WaterBill,CN,2024-01-02 08:42:00,ONLINE,387093,DEBIT
503159,10083,71,CREDIT,1847,Transfer,GB,2024-01-02 09:46:00,POS,29964,CREDIT
502062,10123,106,CREDIT,2578,Transfer,GB,2024-01-02 12:50:00,ONLINE,233545,CREDIT
504001,10095,81,DEBIT,4719,WaterBill,CN,2024-01-02 15:50:00,POS,220827,DEBIT
504335,10089,77,DEBIT,4547,Transfer,PK,2024-01-02 18:02:00,BRANCH,170173,DEBIT
501519,10098,84,CREDIT,10651,Restaurant,GB,2024-01-02 22:25:00,ONLINE,488298,CREDIT
500044,10048,43,DEBIT,3463,MobileTopup,AE,2024-01-03 01:53:00,BRANCH,341827,DEBIT
503352,10016,14,DEBIT,190,ElectricBill,GB,2024-01-03 03:53:00,ONLINE,374831,DEBIT
